"ID";"Perioden";"Import_1";"Productie_2";"Totaal_3";"AutonomeSystemen_4";"NetgekoppeldeSystemenEnergiebedrijven_5";"NetgekoppeldeSystemenOverig_6";"Export_7";"Tussenhandel_8";"Totaal_9";"ResearchDevelopment_10";"ProductieVanPanelenEnOnderdelen_11";"Overig_12";"Omzet_13";"UitgavenVoorResearchDevelopment_14"
"0";"1991JJ00";;;"260";"230";"0";"30";;;;;;;;
"1";"1992JJ00";;;"240";"240";"0";"0";;;;;;;;
"2";"1993JJ00";;;"370";"350";"0";"20";;;;;;;;
"3";"1994JJ00";;;"320";"260";"0";"60";;;;;;;;
"4";"1995JJ00";;;"440";"280";"0";"160";;;;;;;;
"5";"1996JJ00";;;"860";"400";"0";"460";;;;;;;;
"6";"1997JJ00";;;"780";"450";"0";"330";;;;;;;;
"7";"1998JJ00";;;"2440";"450";"0";"1990";;;;;;;;
"8";"1999JJ00";;;"2715";"456";"0";"2259";;;;;;;;
"9";"2000JJ00";;;"3564";"194";"180";"3190";;;;;;;;
"10";"2001JJ00";;;"7750";"250";"2300";"5200";;;;;;;;
"11";"2002JJ00";;;"5817";"302";"0";"5515";;;;;;;;
"12";"2003JJ00";;;"19845";"300";"0";"19545";;;;;;;;
"13";"2004JJ00";"13160";"0";"3604";"434";"679";"2491";"9770";"4767";"147";"23";"10";"115";"89866";"2422"
"14";"2005JJ00";"23677";;"1663";"323";"0";"1340";"20942";"6500";"141";"17";"21";"103";"113018";"1884"
"15";"2006JJ00";"25052";;"1521";"278";"160";"1083";"22148";;"232";"28";"92";"112";"160663";"1922"
"16";"2007JJ00";;;"1399";"558";"66";"775";"34005";;"403";"32";"198";"173";"252488";"2546"
"17";"2008JJ00";;;"4444";"239";"151";"4054";"64089";;"552";"41";"263";"248";"408002";"3526"
"18";"2009JJ00";;;"10669";"91";"802";"9776";"72493";;"545";"56";;;"332401";"5890"
"19";"2010JJ00";;;"20682";"291";"768";"19623";"117665";;"622";"59";;;"490847";"3537"
"20";"2011JJ00";;;"58473";"86";"5815";"52572";;;;;;;;
"21";"2012JJ00";;;"220000";"600";;;;;;;;;;
